place,time,magnitude,longitude,latitude,depth(km)
"6km SSE of Bombay Beach, CA","2016-09-27T09:46:31Z","2.68","-115.7136667","33.2978333","3.02"
"Southwest Indian Ridge","2016-09-27T08:39:25Z","4.7","60.99","-29.1809","15.56"
"228km SE of L'Esperance Rock, New Zealand","2016-09-27T08:33:52Z","4.7","-177.1655","-32.8706","36.46"
"34km W of Hihifo, Tonga","2016-09-27T08:01:24Z","4.9","-174.0737","-15.9783","123.16"
"127km SSE of L'Esperance Rock, New Zealand","2016-09-27T07:54:36Z","4.8","-178.2282","-32.4287","10"
"75km WSW of Anchor Point, Alaska","2016-09-27T07:13:27Z","3","-153.064","59.5208","113.5"
"7km SSE of Bombay Beach, CA","2016-09-27T06:42:21Z","2.5","-115.7078333","33.2943333","5.3"
"135km N of Road Town, British Virgin Islands","2016-09-27T06:19:30Z","3.7","-64.431","19.6254","25"
"20km SSE of Tonkawa, Oklahoma","2016-09-27T06:09:59Z","3","-97.2484","36.505","2.02"
"52km N of Road Town, British Virgin Islands","2016-09-27T05:53:48Z","3","-64.5982","18.8924","24"
"7km SSE of Bombay Beach, CA","2016-09-27T05:52:50Z","3.18","-115.711","33.2906667","6.74"
"6km SE of Bombay Beach, CA","2016-09-27T05:49:13Z","2.54","-115.6986667","33.3068333","3.59"
"13km NE of Quito, Ecuador","2016-09-27T05:46:11Z","2.9","-78.4358","-0.1456","10"
"45km WSW of Gillette, Wyoming","2016-09-27T05:39:49Z","2.96","-106.0371667","44.156","6.25"
"42km SSW of Tok, Alaska","2016-09-27T05:03:02Z","2.7","-143.1578","62.9618","6.3"
"7km S of Bombay Beach, CA","2016-09-27T04:43:51Z","2.99","-115.719","33.287","1.2"
"6km SSE of Bombay Beach, CA","2016-09-27T04:43:48Z","2.6","-115.7148333","33.2951667","5.32"
"7km SSE of Bombay Beach, CA","2016-09-27T04:39:22Z","2.54","-115.7181667","33.29","6.79"
"42km SSW of Boca de Yuma, Dominican Republic","2016-09-27T04:08:19Z","3.3","-68.7485","18.0135","30"
"6km SE of Bombay Beach, CA","2016-09-27T03:46:30Z","3.46","-115.6973333","33.308","3.1"
"6km SE of Bombay Beach, CA","2016-09-27T03:39:40Z","3.39","-115.6933333","33.3091667","2.54"
"6km SSE of Bombay Beach, CA","2016-09-27T03:36:15Z","4.13","-115.701","33.3058333","2.52"
"7km SSE of Bombay Beach, CA","2016-09-27T03:29:32Z","2.99","-115.7143333","33.2915","2.45"
"7km SSE of Bombay Beach, CA","2016-09-27T03:29:10Z","2.76","-115.7181667","33.2905","2.54"
"7km S of Bombay Beach, CA","2016-09-27T03:28:38Z","2.6","-115.7268333","33.2876667","2.93"
"7km SSE of Bombay Beach, CA","2016-09-27T03:25:05Z","3.3","-115.713","33.2856667","2.8"
"6km SSE of Bombay Beach, CA","2016-09-27T03:23:58Z","4.33","-115.7123333","33.2998333","4.84"
"6km SSE of Bombay Beach, CA","2016-09-27T03:06:14Z","3.33","-115.716","33.2971667","2.99"
"6km SSE of Bombay Beach, CA","2016-09-27T01:56:22Z","2.52","-115.7143333","33.2955","2.9"
"6km SSE of Bombay Beach, CA","2016-09-27T00:09:04Z","2.57","-115.7003333","33.2995","5.46"
"7km SSE of Bombay Beach, CA","2016-09-26T23:34:01Z","3.03","-115.7065","33.2951667","5.63"
"6km SSE of Bombay Beach, CA","2016-09-26T23:33:37Z","3.2","-115.7056667","33.2958333","3.23"
"9km ENE of Cherokee, Oklahoma","2016-09-26T23:30:51Z","3.7","-98.2631","36.7906","5"
"27km ESE of El Negro, Puerto Rico","2016-09-26T22:55:27Z","2.6","-65.6321","17.9066","12"
"9km SW of Big Lake, Alaska","2016-09-26T22:24:33Z","3.2","-150.0639","61.4492","20.2"
"145km ESE of Katsuura, Japan","2016-09-26T21:29:18Z","4.5","141.7197","34.538","10"
"23km S of Charlotte Amalie, U.S. Virgin Islands","2016-09-26T20:23:01Z","2.8","-64.944","18.1331","14"
"170km SSW of Suva, Fiji","2016-09-26T20:15:12Z","5.2","177.7406","-19.5324","52.2"
"15km ENE of Clearlake Oaks, California","2016-09-26T19:19:40Z","2.92","-122.5028333","39.0823333","-0.79"
"67km SSE of Amahusu, Indonesia","2016-09-26T19:15:35Z","4.1","128.3875","-4.2828","187.86"
"114km ENE of Mohean, India","2016-09-26T19:04:15Z","4.7","94.2746","8.3643","10"
"68km W of Kuril'sk, Russia","2016-09-26T18:52:27Z","4.8","147.0157","45.2264","58.77"
"120km NE of L'Esperance Rock, New Zealand","2016-09-26T18:07:02Z","4.7","-178.0701","-30.6128","35.96"
"97km SW of Ndoi Island, Fiji","2016-09-26T17:23:18Z","4.6","-179.2316","-21.3713","631.71"
"105km SW of Rulong, China","2016-09-26T15:48:53Z","4.9","99.6066","30.2096","20.08"
"6km SSE of Bombay Beach, CA","2016-09-26T15:48:40Z","3.18","-115.7153333","33.2958333","2.47"
"6km SSE of Bombay Beach, CA","2016-09-26T15:48:39Z","2.54","-115.719","33.293","1.91"
"6km S of Bombay Beach, CA","2016-09-26T15:47:28Z","3.08","-115.7216667","33.2925","2.74"
"20km NE of Crescent, Oklahoma","2016-09-26T15:47:03Z","3.2","-97.4425","36.0855","5"
"6km SSE of Bombay Beach, CA","2016-09-26T15:30:15Z","2.53","-115.7173333","33.2945","2.53"
"6km SSE of Bombay Beach, CA","2016-09-26T15:04:58Z","2.51","-115.7128333","33.2941667","2.45"
"6km SSE of Bombay Beach, CA","2016-09-26T15:02:10Z","2.75","-115.7136667","33.2955","2.22"
"7km S of Bombay Beach, CA","2016-09-26T14:45:30Z","2.68","-115.7198333","33.2916667","2.45"
"7km S of Bombay Beach, CA","2016-09-26T14:35:45Z","2.56","-115.7226667","33.29","2.53"
"6km SSE of Bombay Beach, CA","2016-09-26T14:33:45Z","2.68","-115.7186667","33.2936667","5.15"
"6km SSE of Bombay Beach, CA","2016-09-26T14:31:08Z","4.3","-115.7136667","33.2976667","2.2"
"7km SSE of Bombay Beach, CA","2016-09-26T13:14:19Z","3.26","-115.7136667","33.2921667","4.34"
"7km S of Bombay Beach, CA","2016-09-26T11:39:55Z","2.84","-115.7196667","33.2905","2.86"
"6km SSE of Bombay Beach, CA","2016-09-26T11:38:27Z","2.67","-115.7195","33.2951667","3.87"
"237km WSW of Hanga Roa, Chile","2016-09-26T11:19:04Z","5","-111.5655","-28.1452","14.92"
"14km NW of Pawnee, Oklahoma","2016-09-26T10:49:31Z","2.8","-96.8938","36.4412","4.75"
"31km ESE of Hawthorne, Nevada","2016-09-26T09:51:42Z","3.2","-118.3208","38.3765","9.2"
"34km NNW of Charlotte Amalie, U.S. Virgin Islands","2016-09-26T09:21:54Z","3.2","-65.072","18.627","13"
"13km NW of Pawnee, Oklahoma","2016-09-26T09:09:05Z","2.7","-96.901","36.4289","4.21"
"91km WNW of Kirakira, Solomon Islands","2016-09-26T08:54:49Z","4.6","161.1581","-10.1223","79.95"
"17km S of Whitehall, Montana","2016-09-26T08:50:27Z","2.7","-112.1243333","45.7183333","5.56"
"81km NNE of Ndoi Island, Fiji","2016-09-26T08:08:38Z","4.5","-178.3495","-19.9911","591.53"
"118km N of Road Town, British Virgin Islands","2016-09-26T08:01:31Z","2.5","-64.7051","19.4829","19"
"41km SSW of Macquarie Island, Australia","2016-09-26T06:20:59Z","4.8","158.639","-54.8078","10"
"0km ESE of Etowah, Tennessee","2016-09-26T06:05:04Z","2.54","-84.5148333","35.3206667","5.56"
"5km SSW of Stella, Puerto Rico","2016-09-26T05:42:01Z","3","-67.262","18.278","91"
"113km NNE of Nago, Japan","2016-09-26T05:19:58Z","6","128.5599","27.4708","40.25"
"169km NE of Gisborne, New Zealand","2016-09-26T05:17:25Z","4.8","179.478","-37.6653","10"
"96km SE of Shizunai, Japan","2016-09-26T05:13:24Z","5.2","143.099","41.6579","30.89"
"20km WNW of Charlotte Amalie, U.S. Virgin Islands","2016-09-26T04:42:42Z","2.6","-65.1183","18.3798","85"
"102km ENE of Ndoi Island, Fiji","2016-09-26T04:21:35Z","4.5","-177.7413","-20.4304","510.87"
"71km SW of San Antonio, Chile","2016-09-26T02:57:39Z","4.2","-72.2615","-33.9607","19.91"
"50km SSW of Shizunai, Japan","2016-09-26T02:24:38Z","5","142.2176","41.8926","65.04"
"82km N of Culebra, Puerto Rico","2016-09-26T01:25:29Z","3.1","-65.342","19.048","7"
"118km E of Nikolski, Alaska","2016-09-26T00:40:40Z","4.6","-167.1271","52.7785","42.72"
"7km SW of Culebra, Puerto Rico","2016-09-26T00:35:28Z","2.5","-65.3451","18.2551","102"
"26km WSW of Ashkasham, Afghanistan","2016-09-26T00:13:40Z","4.4","71.2482","36.6217","219.25"
"144km SSE of L'Esperance Rock, New Zealand","2016-09-25T23:46:49Z","4.6","-178.467","-32.6793","10"
"87km NNE of Luquillo, Puerto Rico","2016-09-25T23:23:42Z","2.5","-65.4032","19.1079","13"
"173km NNW of Road Town, British Virgin Islands","2016-09-25T23:12:41Z","2.7","-64.9627","19.9491","18"
"13km SSW of Amatignak Island, Alaska","2016-09-25T22:52:58Z","2.5","-179.1672","51.1496","16.3"
"18km E of Pahala, Hawaii","2016-09-25T22:29:13Z","2.58","-155.300827","19.2056675","45.5"
"181km SSE of Bitung, Indonesia","2016-09-25T19:30:55Z","4.1","125.8597","-0.0446","62.85"
"49km S of Ndoi Island, Fiji","2016-09-25T19:19:37Z","4.3","-178.6175","-21.0881","571.87"
"23km SW of Larsen Bay, Alaska","2016-09-25T19:17:55Z","2.5","-154.2141","57.3664","42.2"
"49km NW of Tumbes, Peru","2016-09-25T18:24:00Z","4.7","-80.7395","-3.229","39.7"
"10km NNW of West Yellowstone, Montana","2016-09-25T17:50:15Z","2.58","-111.134","44.7505","11.15"
"13km SW of Watonga, Oklahoma","2016-09-25T17:34:53Z","2.6","-98.5349","35.7672","7.83"
"240km SE of Akutan, Alaska","2016-09-25T16:51:17Z","2.5","-163.4801","52.4685","10.5"
"9km NNW of West Yellowstone, Montana","2016-09-25T16:46:34Z","2.79","-111.131","44.7488333","11"
"280km SE of Lambasa, Fiji","2016-09-25T15:15:03Z","4.5","-178.5153","-17.9452","567.92"
"33km N of Hatillo, Puerto Rico","2016-09-25T14:52:39Z","2.7","-66.7792","18.7851","8"
"56km NNW of Sand Point, Alaska","2016-09-25T14:02:27Z","2.6","-160.7532","55.8221","157"
"Southwest Indian Ridge","2016-09-25T12:34:38Z","4.6","61.036","-29.2203","14.24"
"26km WNW of Campoverde, Peru","2016-09-25T12:10:41Z","4.6","-75.0281","-8.3748","126.83"
"139km ESE of Nikolski, Alaska","2016-09-25T10:14:14Z","2.6","-166.9222","52.5232","39.4"
"139km ESE of Nikolski, Alaska","2016-09-25T10:10:37Z","3.4","-166.9081","52.5446","19"
"59km W of Nikolski, Alaska","2016-09-25T10:01:05Z","3","-169.7376","52.8597","3.6"
"158km W of Brookings, Oregon","2016-09-25T09:50:51Z","4.6","-126.1645","41.787","16.37"
"177km WSW of Gold Beach, Oregon","2016-09-25T07:42:07Z","2.93","-126.4246667","41.8298333","22.99"
"42km N of Charlotte Amalie, U.S. Virgin Islands","2016-09-25T06:40:01Z","3.3","-65.0081","18.7191","31"
"33km SSE of Bobon, Philippines","2016-09-25T05:31:35Z","4.3","126.4937","6.6165","74.38"
"151km WSW of Gold Beach, Oregon","2016-09-25T05:01:50Z","5","-126.1106","41.8666","10"
"104km NNE of Road Town, British Virgin Islands","2016-09-25T04:52:48Z","2.5","-64.1526","19.2518","57"
"181km SE of L'Esperance Rock, New Zealand","2016-09-25T04:28:37Z","5.9","-177.4917","-32.5456","10"
"13km WSW of Niland, CA","2016-09-25T03:47:43Z","2.56","-115.6506667","33.2155","2.3"
"128km WNW of Gustavus, Alaska","2016-09-25T03:25:23Z","2.7","-137.7148","58.9243","10.6"
"21km ESE of Little Lake, CA","2016-09-25T01:41:22Z","3.37","-117.6831667","35.898","2.58"
"65km SW of Coquimbo, Chile","2016-09-25T01:23:45Z","4.7","-71.8931","-30.2982","10"
"128km NNE of Ndoi Island, Fiji","2016-09-25T01:10:10Z","5.1","-178.0192","-19.6868","577.37"
"146km SE of L'Esperance Rock, New Zealand","2016-09-25T00:28:00Z","4.9","-177.8788","-32.4296","10"
"135km SE of L'Esperance Rock, New Zealand","2016-09-25T00:25:10Z","4.7","-177.9991","-32.3797","10"
"144km W of Ferndale, California","2016-09-25T00:10:00Z","2.91","-125.9491667","40.403","25.04"
"129km SE of L'Esperance Rock, New Zealand","2016-09-24T23:52:03Z","5.1","-178.0509","-32.3454","10"
"121km SSE of L'Esperance Rock, New Zealand","2016-09-24T23:42:49Z","4.9","-178.2476","-32.3725","10"
"118km SE of L'Esperance Rock, New Zealand","2016-09-24T23:27:19Z","5.2","-178.1965","-32.3193","10"
"77km ENE of Punta Cana, Dominican Republic","2016-09-24T23:12:50Z","2.9","-67.7652","18.9361","5"
"6km NE of Langston, Oklahoma","2016-09-24T22:41:30Z","3.6","-97.2014","35.9789","1.26"
"100km NNE of Ndoi Island, Fiji","2016-09-24T21:55:06Z","5","-178.2809","-19.828","587.56"
"153km S of False Pass, Alaska","2016-09-24T21:39:45Z","3.5","-163.4571","53.4678","16.4"
"99km NNE of Ndoi Island, Fiji","2016-09-24T21:28:41Z","6.9","-178.2738","-19.8499","596.34"
"125km WNW of Neiafu, Tonga","2016-09-24T21:07:13Z","6.4","-175.039","-18.1267","183.37"
"86km NNE of Luquillo, Puerto Rico","2016-09-24T20:37:32Z","2.5","-65.4335","19.104","28"
"121km NNE of Calama, Chile","2016-09-24T20:27:17Z","5.1","-68.2949","-21.5401","94.87"
"74km NNW of Road Town, British Virgin Islands","2016-09-24T19:15:40Z","2.5","-64.777","19.0725","106"
"6km NW of The Geysers, California","2016-09-24T18:56:14Z","2.54","-122.8118333","38.8116667","1.85"
"71km ENE of Adak, Alaska","2016-09-24T18:22:11Z","2.7","-175.783","52.2312","225.6"
"111km SE of Yunaska Island, Alaska","2016-09-24T17:43:51Z","2.7","-169.6318","51.8679","46.3"
"57km N of Jayapura, Indonesia","2016-09-24T17:15:10Z","4.7","140.6456","-2.0144","35.14"
"53km ESE of Maneadero, B.C., MX","2016-09-24T16:42:33Z","2.5","-116.0218333","31.6078333","7.45"
"31km NE of Vieques, Puerto Rico","2016-09-24T15:53:56Z","2.7","-65.6585","18.6539","6"
"49km N of Jayapura, Indonesia","2016-09-24T15:42:37Z","4.8","140.7066","-2.0863","31.44"
"113km N of Ruby, Alaska","2016-09-24T15:16:07Z","2.9","-155.197","65.7495","6.7"
"12km SSE of Little Sitkin Island, Alaska","2016-09-24T14:38:30Z","2.9","178.568","51.8439","96.7"
"298km WNW of Saumlaki, Indonesia","2016-09-24T11:27:45Z","5","128.9388","-6.6745","253.81"
"76km N of Jayapura, Indonesia","2016-09-24T11:09:43Z","5.6","140.5828","-1.8517","14.24"
"65km N of Jayapura, Indonesia","2016-09-24T11:04:29Z","5.6","140.6174","-1.9447","10"
"147km ESE of Katsuura, Japan","2016-09-24T10:52:06Z","4.9","141.7619","34.5655","10"
"18km SE of Yosemite Valley, California","2016-09-24T10:50:11Z","2.87","-119.413","37.6418333","-0.37"
"62km NE of Kodiak, Alaska","2016-09-24T10:48:31Z","2.7","-151.6116","58.1526","38.7"
"89km N of Finschhafen, Papua New Guinea","2016-09-24T10:47:45Z","4.5","147.9086","-5.7917","84.77"
"155km ESE of Katsuura, Japan","2016-09-24T10:20:45Z","4.9","141.7949","34.4759","10"
"67km NNW of Jayapura, Indonesia","2016-09-24T09:41:57Z","5.2","140.5458","-1.9383","10"
"11km ENE of Desert Hot Springs, CA","2016-09-24T09:11:14Z","3.43","-116.3896667","33.991","8.65"
"298km NW of Visokoi Island, South Georgia and the South Sandwich Islands","2016-09-24T07:50:22Z","5","-30.6314","-54.8456","16.52"
"33km SSE of Tamisan, Philippines","2016-09-24T06:21:52Z","4.6","126.448","6.584","74.86"
"Reykjanes Ridge","2016-09-24T05:39:17Z","4.7","-33.53","57.2957","10"
"Reykjanes Ridge","2016-09-24T05:21:06Z","4.5","-33.6215","57.9289","10"
"270km ESE of Lambasa, Fiji","2016-09-24T05:18:01Z","4.6","-178.3616","-17.5416","523.42"
"74km NNW of Road Town, British Virgin Islands","2016-09-24T05:16:02Z","2.5","-64.834","19.0573","50"
"Reykjanes Ridge","2016-09-24T04:42:41Z","4.7","-33.3789","57.1611","10"
"Reykjanes Ridge","2016-09-24T04:26:17Z","4.9","-33.3264","57.2064","10"
"72km NNW of Road Town, British Virgin Islands","2016-09-24T04:11:33Z","2.5","-64.8","19.0459","49"
"177km SE of L'Esperance Rock, New Zealand","2016-09-24T04:02:13Z","5.8","-177.5591","-32.5504","10"
"94km S of Semisopochnoi Island, Alaska","2016-09-24T03:45:31Z","2.6","179.4883","51.106","17.6"
"8km WSW of Volcano, Hawaii","2016-09-24T03:29:37Z","2.63","-155.3121667","19.4071667","4.528"
"94km NNW of Talkeetna, Alaska","2016-09-24T03:18:39Z","2.6","-150.9693","63.0697","127.6"
